States/UTs,SMM_2005,SMM_2006,SMM_2007,SMM_2009,SMM_2011,LDT_2006,LDT_2007,LDT_2009,LDT_2011,TG_2006,TG_2007,TG_2009,TG_2011,IDU_2003,IDU_2004,IDU_2005,IDU_2006,IDU_2007,IDU_2008-09,IDU_2010-11,MSM_2003,MSM_2004,MSM_2005,MSM_2006,MSM_2007,MSM_2008-09,MSM_2010-11,FSW_2003,FSW_2004,FSW_2005,FSW_2006,FSW_2007,FSW_2008-09,FSW_2010-11,ANC_2003,ANC_2004,ANC_2005,ANC_2006,ANC_2007,ANC_2008-09,ANC_2010-11
"A & N Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,0.5,0.4,NA,NA,NA,NA,0.45,0,0,0.17,0.25,0.06,0.13
"Andhra Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,3.71,6.9,3.05,13.2,16,6.45,10.25,17.04,23.6,10.14,20,16.97,12.97,7.32,9.74,11.14,6.86,1.45,1.7,1.67,1.41,1.07,1.22,0.76
"Arunachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.23,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.28,0,0.2,0.46,0.27,0,0.46,0.21
Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,4.48,7.86,2.86,2.14,3.64,1.46,NA,NA,NA,0.78,2.78,0.41,1.4,0,0,0.76,0.46,0.44,0.8,0.46,0,0.14,0,0.04,0.11,0.13,0.09
Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.6,5.47,4.54,1.6,1.6,0.4,0.3,0,1.64,4.2,4.8,0.2,2.24,1.68,3.4,2.98,2.3,0.11,0.22,0.38,0.36,0.34,0.3,0.17
Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,9.2,17.6,8.64,13.6,7.2,NA,1.36,1.6,4.8,3.6,2.79,0.4,0.6,0.8,0.67,0.67,0.4,0.82,0,0.22,0.5,0,0.25,0.25,0.25,0
Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,14.98,NA,NA,NA,1.57,1.43,NA,2.73,0.76,0,0.32,0.31,0.29,0.41,0.43
"D & N Haveli",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0,0.25,0,0.5,0,0
"Daman & Diu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.38,0.13,0,0.13,0.38,0.13
Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,17.6,22.8,10,10.1,18.6,18.27,27.42,6.67,20.4,12.27,11.73,7.87,5.34,1.61,4.6,3.15,2.8,3.15,2.17,0.7,0.13,0.31,0.31,0.1,0.2,0.2,0.3
Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.09,1.68,4.9,4.8,7.93,6.4,4.53,30.15,NA,NA,NA,NA,6.4,2.7,0.48,1.13,0,0.5,0.18,0.68,0.33
Gujarat,NA,NA,NA,1.8,0.67,NA,NA,NA,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,6.8,10.67,11.2,8.4,5.48,3,NA,9.2,8.13,6.4,6.53,3.74,1.62,0.38,0.19,0.38,0.55,0.34,0.44,0.46
Haryana,NA,NA,NA,NA,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.8,2,0.8,NA,NA,NA,0,5.39,3.2,3.05,NA,NA,2,1.19,0.91,1.55,0.48,0.27,0,0.19,0.17,0.16,0.15,0.19
"Himachal Pradesh",NA,NA,0,0,0,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,4.89,NA,NA,NA,0.44,0,0.4,1.23,0,0.8,0,0.66,0.87,0.55,0.53,0.25,0.25,0.22,0.06,0.13,0.51,0.04
"Jammu &Kashmir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.5,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0.08,0,0.04,0.05,0,0.06
Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,0.4,NA,1.65,2.02,NA,NA,NA,NA,NA,2,0.4,NA,0,0.8,0.88,1.09,0.94,0.82,0.08,0.05,0.14,0.13,0.13,0.38,0.45
Karnataka,NA,NA,NA,NA,0,NA,NA,NA,3.2,NA,NA,NA,NA,2.8,0,NA,3.6,2,2,0,10.8,10,11.61,19.2,17.6,12.52,5.36,14.4,21.6,18.39,8.64,5.3,14.4,5.1,1.43,1.52,1.49,1.12,0.86,0.89,0.69
Kerala,NA,NA,NA,NA,0,2.4,3.6,0.8,0,NA,NA,NA,NA,NA,2.58,5.19,9.57,7.85,3.04,4.95,NA,0.89,3.2,0.64,0.96,0.75,0.36,1.94,NA,NA,0.32,0.87,1.46,0.73,0.09,0.42,0.32,0.21,0.46,0.21,0.13
"Madhya Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13,NA,NA,NA,NA,NA,NA,7.94,NA,NA,1.82,1.07,0.67,NA,0.93,0.42,0.38,0.27,0.26,0.25,0.26,0.32
Maharashtra,NA,2.4,1.6,3,1.07,NA,NA,NA,1.61,29.6,42.21,16.4,18.8,22.89,29.2,12.8,20.4,24.4,20,14.17,18.8,11.2,10.4,15.6,11.8,11.9,9.91,54.29,41.69,23.62,19.57,17.91,10.77,6.89,1.15,0.97,1.07,0.87,0.76,0.61,0.42
Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.47,21,24.1,19.8,17.9,28.65,12.89,29.2,14,15.6,10.4,16.4,17.21,10.53,12.8,12.4,10,11.6,13.07,10.87,2.8,1.34,1.66,1.3,1.39,1.31,0.54,0.78
Meghalya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.33,4.17,NA,6.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0,0,0.09,0,0.04,0.05
Mizoram,NA,NA,NA,0.8,1.22,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6.8,4.8,3.05,7.53,5.28,12.01,NA,NA,NA,NA,NA,NA,NA,NA,13.69,14,10.4,7.2,9.2,NA,1.7,1.5,0.81,0.94,0.85,0.72,0.4
Nagaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.43,3.22,4.51,2.39,1.91,3.17,2.21,NA,NA,NA,NA,NA,NA,13.58,4.4,4.44,10.8,16.4,8.91,14.06,3.21,1.69,1.85,1.97,1.36,1.1,1.14,0.66
Odisha,NA,1.44,NA,3.6,3.2,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,7.33,7.2,7.16,NA,NA,NA,NA,7.37,4.19,3.79,NA,5.18,2.6,1,0.8,2.4,2.07,0,0.5,0.6,0.55,0.23,0.73,0.43
"Puducherry ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22,5.6,2.47,2,NA,1.21,NA,1.94,0.28,1.44,1.3,NA,1.21,0.13,0.25,0.25,0.25,0,0.25,0.13
Punjab,NA,NA,NA,NA,1.2,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,13.79,26.36,21.1,NA,NA,NA,4.8,1.22,3,2.18,0,NA,NA,1.36,0.65,0.97,0.85,0.13,0.44,0.25,0.2,0.12,0.31,0.26
Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3.92,2.31,3.72,2.55,4.16,3.58,1.28,0.15,0.23,0.5,0.29,0.19,0.19,0.38
Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.2,0.47,1.45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.44,0,0.21,0,0.25,0.1,0.09,0,0.09
"Tamil Nadu",NA,NA,NA,NA,0.8,NA,NA,NA,2.01,NA,NA,NA,3.82,63.81,39.92,18,24.2,16.8,9.48,NA,4.2,6.8,6.2,5.6,6.6,5.24,2.41,8.8,4,5.49,4.62,4.68,6.22,2.69,0.83,0.81,0.54,0.54,0.58,0.35,0.38
Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.92,0,0,0.42,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0,0.25,0,0.42,0.25,0,0
"Uttar Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63,1.29,2.46,2.03,NA,NA,NA,NA,0.4,4.07,1.56,6.6,8,3.5,1.52,0.78,1.03,0.62,0.22,0.44,0.15,0.25,0.08,0.18,0.21
Uttarakhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.06,0,0,0.11,0.06,0.22,0.25
"West Bengal",NA,NA,9.27,2.42,1.61,2.72,2.72,1.75,3.71,NA,NA,NA,NA,2.61,3.83,7.41,4.64,7.76,6.9,2.72,NA,1.33,0.54,6.6,5.61,4.9,5.09,6.47,4.11,6.8,6.12,5.92,4.12,2.04,0.46,0.43,0.89,0.38,0.4,0.17,0.13
India,0,1.6,3.61,2.17,0.99,2.37,2.87,1.57,2.59,29.6,42.21,16.4,8.82,13.15,11.16,10.16,6.92,7.23,9.19,7.14,8.47,7.47,8.74,6.41,7.41,7.3,4.43,10.33,9.43,8.44,4.9,5.06,4.94,2.67,0.8,0.95,0.9,0.6,0.49,0.49,0.4
